<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.11.07	2664.035	2710.360	2643.208	2706.866	239798	0	159
2024.11.08	2706.870	2710.418	2680.286	2684.758	201071	0	159
2024.11.10	2683.161	2685.651	2681.526	2685.605	3698	0	159
2024.11.11	2685.638	2686.141	2610.530	2624.038	211160	0	159
2024.11.12	2624.027	2627.186	2589.657	2598.952	233496	0	159
2024.11.13	2599.010	2618.841	2569.214	2570.989	227020	0	159
2024.11.14	2571.012	2577.433	2536.747	2566.899	243397	0	159
2024.11.15	2566.888	2576.070	2554.392	2562.969	203135	0	159
2024.11.17	2568.027	2575.523	2568.027	2571.445	5724	0	159
2024.11.18	2571.418	2615.087	2569.866	2612.704	190960	0	159
2024.11.19	2612.731	2639.438	2611.047	2635.161	199831	0	159
2024.11.20	2635.161	2655.433	2618.864	2652.111	173016	0	159
2024.11.21	2652.153	2673.522	2650.358	2669.159	179980	0	159
2024.11.22	2669.127	2715.662	2668.844	2715.573	214591	0	159
2024.11.24	2711.186	2721.437	2710.748	2719.756	8493	0	159
2024.11.25	2719.719	2720.143	2605.128	2610.455	325092	0	159
2024.11.26	2610.484	2641.989	2608.477	2632.254	231867	0	159
2024.11.27	2632.249	2658.181	2627.017	2637.168	182648	0	159
2024.11.28	2637.127	2649.641	2620.844	2638.765	122264	0	159
2024.11.29	2638.730	2666.383	2633.989	2655.230	154490	0	159
2024.12.01	2649.036	2650.324	2643.057	2645.659	5625	0	159
2024.12.02	2645.701	2651.794	2621.818	2642.206	226504	0	159
2024.12.03	2642.199	2655.665	2634.033	2642.721	183320	0	159
2024.12.04	2642.725	2657.165	2632.330	2650.397	188368	0	159
2024.12.05	2650.404	2655.518	2623.444	2633.713	173768	0	159
2024.12.06	2633.721	2645.733	2612.931	2632.914	204937	0	159
2024.12.08	2642.963	2648.524	2636.316	2640.128	8067	0	159
2024.12.09	2640.128	2676.454	2627.525	2660.454	197706	0	159
2024.12.10	2660.476	2698.332	2657.958	2695.991	181038	0	159
2024.12.11	2695.930	2721.064	2675.502	2719.922	185295	0	145
2024.12.12	2719.986	2726.206	2675.078	2680.623	73767	0	159
2024.12.13	2680.617	2692.778	2646.046	2648.392	70335	0	159
2024.12.15	2649.414	2653.127	2648.804	2651.479	1932	0	159
2024.12.16	2651.484	2664.447	2643.497	2651.744	118449	0	80
